criticita,progetto,regione,provincia,comune,multicomune,gestore,strada,prog_ini,prog_fin,livello,criticita_descrizione,criticita_classe,criticita_funz_strada,criticita_opera,criticita_danno,intervento_prima_fase_descrizione,intervento_prima_fase_categoria,intervento_prima_fase_titolo,intervento_prima_fase_importo_investimenti,intervento_prima_fase_tempi_progetto,intervento_prima_fase_tempi_lavori,intervento_prima_fase_prorita,intervento_seconda_fase_descrizione,intervento_seconda_fase_categoria,intervento_seconda_fase_titolo,intervento_seconda_fase_importo_investimenti,intervento_seconda_fase_tempi_progetto,intervento_seconda_fase_tempi_lavori,intervento_seconda_fase_prorita,importo_complessivo,finanziamento,fondi_da_programmare
SCRI0201,"C1RI02_E_1
701",Lazio,Rieti,Amatrice,,"Comune di
Amatrice","SC Casale
Nibbi  ‐
San
Benedett
o
(Romanel
la)",,,3,Danneggiamenti al Ponte Cinque Occhi,Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Il ponte è stato oggetto di lavori di
consolidamento che hanno portato alla
riapertura ma con limitazione di portata.","Ulteriori opere di consolidamento o se
necessario nuovo ponte.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.C.Romanella ‐ Danneggiamento alle
strutture del Ponte 5 Occhi a seguito di
eventi sismici.","4.184.444,00",120,600,3,,,,,,,,"4.184.444,00",,"4.184.444,00"
SPRI0202,"P1RI02_E_1
701",Lazio,Rieti,Amatrice,,"Provincia di
Rieti",SP18,1,1.02,1,"Scarpata in roccia fratturata con rischio
di caduta massi e alberi pericolanti.       L
m. 200",Viabilità con ridotte condizioni di sicurezza,Aperta,"Barriere e
protezioni","Dissesto su scarpata in roccia con
potenziale distacco di pietre dalla
scarpata e alberi pericolanti.","Disgaggio delle pietre e blocchi rocciosi
instabili; leggero arretramento del
versante in cresta con abbattimento
degli alberi pericolanti; fornitura e posa
di rete metallica a contatto.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 18 ‐ km 1+000 ‐ Intervento di
ripristino dei dissesti su scarpata in
roccia.","65.756,00",40,50,1,,,,,,,,"65.756,00",,"65.756,00"
SPRI0221,"P1RI02_E_1
701",Lazio,Rieti,Accumoli,,"Provincia di
Rieti",SP18,23.15,,1,"Distacco parziale del rivestimento in
pietra del muro di contenimento della
scarpata.",Viabilità con ridotte condizioni di sicurezza,Aperta,"Opere
complementari","Distacco parziale del rivestimento in
pietra del muro di contenimento della
scarpata.","Rifacimento del rivestimento del muro
mediante la ricollocazione del materiale
crollato.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 18 ‐ km 22+750 ‐ Intervento di
ripristino dei dissesti su opere d'arte.","21.520,00",15,15,1,,,,,,,,"21.520,00",,"21.520,00"
SPRI0222,"P1RI02_E_1
701",Lazio,Rieti,Accumoli,,"Provincia di
Rieti",SP18,22.08,,1,"Crollo murature attraversamento
sottostradale",Viabilità con ridotte condizioni di sicurezza,Aperta,"Opere
complementari","Distacco di sassi dall'arco e piedritti con
fessure profonde  sulle murature.","Rifacimento dei muri collassati con il
rimpiego del materiale espulso e
introduzione di catene trasversali.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 18 ‐ km 22+800 ‐ Intervento di
ripristino dei dissesti su opere d'arte.","21.520,00",15,15,1,,,,,,,,"21.520,00",,"21.520,00"
SPRI0506,"P1RI05_E_1
701",Lazio,Rieti,Amatrice,,"Provincia di
Rieti",SP20,8,8.02,2,Danneggiamenti alle strutture del ponte.,Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Si tratta di un ponte ad arco in
calcestruzzo dal quale partono i muri
andatori di contenimento in muratura. Il
sisma ha staccato l'arco in calcestruzzo
dai muri in maniera netta. I piedritti
dell'arco, tutti in muratura, sono stati
danneggiati dall'evento. Quello di destra
è stato tagliato orizzontalmente rispetto
allo spiccato della fondazione. I cordoli
laterali tutti in calcestruzzo, eseguiti
senza giunti di dilatazione, sono stati
tagliati.","Occorre ricollegare l'arco con i muri
mediante catene trasversali; il piedritto
tagliato va ricollegato alla fondazione;
occorre  riempire eventuali cavità
interne con iniezioni di malta; occorre
effettuare il rifacimento dei cordoli
provvisti di giunti verticali, di parti di
muro collassate, di due giunti in
corrispondenza delle spalle e
l'introduzione di scarichi superficiali
delle acque e l’adeguamento della
barriera di sicurezza.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.P. 20 ‐ km 8+000 ‐ Danneggiamento
delle strutture a seguito di eventi sismici.","89.667,00",30,30,2,,,,,,,,"89.667,00",,"89.667,00"
SPRI0702,"R1RI07_E_1
701",Lazio,Rieti,Amatrice,,"Provincia di
Rieti","SS4 ‐
SP59",14.25,,1,"DanneggiamentI e crolli di blocchi anche
di grande dimensioni.",Viabilità con ridotte condizioni di sicurezza,Aperta,Corpo stradale,"Interruzione provvisoria della strada per
il crollo dei blocchi rocciosi che hanno
invaso la sede stradale. E' intervenuta la
Provincia per una prima messa in
sicurezza della strada mediante disgaggi
effettuati in due fasi. A circa 6m dalla
corona di frana passa la SS 4 Salaria.
L'INTERVENTO RISULTA FUNZIONALE
ALLA MESSA IN SICUREZZA DELLA SS 4
SALARIA.","Realizzazione di un muro di
contenimento in quanto la litologia
affiorante in gran parte costituita da
sedimenti fini misti a trovanti litoidi non
consente di ipotizzare la stabilizzazione
della scarpata medianti reti metalliche a
contatto.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 59 ‐ km 13+850 ‐ Interventi di
ripristino del corpo stradale a seguito di
eventi sismici.","191.289,00",20,55,1,,,,,,,,"191.289,00",,"191.289,00"
SSAP0201,"S1AP02_E_1
701",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,145,146.29.00,1,"Danneggiamento viadotto in c.a.p.
costituito da n. 3 campate",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Danneggiamento paraghiaia spalla lato
Roma;
Rottura a taglio dei baggioli;
Traslazione centimetrica dell'impalcato e
dei muri d'ala;
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi; Adeguamento
delle barriere stradali di sicurezza;",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 145+000 e
145+089.","2.165.625,00",60,90,1,,,,,,,,"2.165.625,00",,"2.165.625,00"
SSAP0202,"S1AP02_E_1
702",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,146.01.00,146.03.00,1,"Caduta massi e danneggiamento reti
paramassi esistenti",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Frana di crollo del versante di monte
del'abitato di Pescara del Tronto con
distacco di massi ciclopidi;
Danneggiamento delle paramassi
esistenti e containers di protezione
provvisoria;
Lesioni diffuse sul muro di contenimento
in corrispondenza dell'alveo fluviale del
Fiume Tronto","Realizzazione di una galleria artificiale
paramassi:
Realizzazione di difese passive con
barriere e reti paramassi.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di realizzazione di galleria
paramassi in corrispondenza della
frazione di Pescara del Tronto, a seguito
del sisma 24 agosto 2016 e 30 ottobre
2016.","5.073.750,00",120,320,1,,,,,,,,"5.073.750,00",,"5.073.750,00"
SSAP0205,"S1AP02_E_1
703",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,156.27.00,157.58.00,1,"Grave danneggiamento del viadotto in
c.a.p. costituito da n. 3 campate",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Rottura a taglio dei baggioli;
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi; Adeguamento
delle barriere stradali di sicurezza;",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 147+567 e
147+658.","1.361.250,00",45,120,1,,,,,,,,"1.361.250,00",,"1.361.250,00"
SSAP0206,"S1AP02_E_1
704",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,161.56.00,148.15.00,1,"Danneggiamento viadotto in c.a.p.
costituito da n. 4 campate",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Danneggiamento paraghiaia spalla lato
Roma;
Rottura a taglio dei baggioli;
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi; Adeguamento
delle barriere stradali di sicurezza;",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 147+896 e
148+015.","2.103.750,00",60,180,1,,,,,,,,"2.103.750,00",,"2.103.750,00"
SSAP0207,"S1AP02_E_1
704",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,152.49.00,154.17.00,1,"Danneggiamnto viadotto in c.a.p.
costituito da n. 3 campate",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Danneggiamento ritegno sismico pila 1
lato sinistro;
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi e cerchiature
delle pile; Adeguamento delle barriere
stradali di sicurezza; Opere di protezione
nell'alveo del fiume Tronto.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 148+289 e
148+377.","2.227.500,00",60,180,1,,,,,,,,"2.227.500,00",,"2.227.500,00"
SSAP0208,"S1AP02_E_1
704",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,160.04.00,161.38.00,1,"Danneggiamento viadotto in c.a.p.
costituito da n. 2 campate",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi; Adeguamento
delle barriere stradali di sicurezza;",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 148+724 e
148+818.","1.237.500,00",45,90,1,,,,,,,,"1.237.500,00",,"1.237.500,00"
SSAP0209,"S1AP02_E_1
705",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,164.07.00,154.31.00,1,"Danneggiamento viadotto in c.a.p.
costituito da n. 11 campate",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Campata 7‐6: Presenza di fessurazione
con andamento subverticale in
corrispondenza della colonna centrale
della pila 6 a metà altezza per la quale si
rende necessario una verifica locale
mediante cestello operante dal basso;
Campata 6‐5 al di sopra del fiume
Tronto: Presenza di fessurazione con
andamento subverticale in
corrispondenza della colonna destra
della pila 5 in prossimità della base. Da
verifica rapida dal basso, tale
fessurazione appare circoscritta a livello
di copriferro ma, in ogni caso è
opportuno effettuare una più
approfondita indagine;
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del copriferro.","Demolizione e rifacimento dei cordoli in
c.a.; Rimozione di giunti di dilatazione e
successiva fornitura e posa in opera;
Fresatura e successiva realizzazione di
pavimentazione bituminosa;
Miglioramento sismico.
Impermeabilizzazione dell'impalcato;
Ripristino dei calcestruzzi e cerchiature
delle pile; Adeguamento delle barriere
stradali di sicurezza;",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di ripristino dei danni
causati dal sisma 24 agosto 2016 e 30
ottobre 2016 e di miglioramento sismico
del Viadotto tra i km 148+967 e
149+331.","8.043.750,00",60,320,1,,,,,,,,"8.043.750,00",,"8.043.750,00"
SSAP0210,"S1AP02_E_1
706",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS4,150,150.06.00,1,Caduta massi dal versante di monte,Viabilità con ridotte condizioni di sicurezza,Aperta,"Barriere e
protezioni","Frana di crollo sul versante di monte con
distacco di massi;","Esplorazione di versante e parete
rocciosa con rimozione dei blocchi
pericolanti; Installazione di barriera
paramassi su tratti sfalzati;
Rafforzamento corticale con maglia",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di realizzazione di barriera
paramassi e rafforzamento corticale, a
seguito del sisma 24 agosto 2016 e 30
ottobre 2016.","185.625,00",5,30,1,,,,,,,,"185.625,00",,"185.625,00"
SSAP0212,"S1AP02_E_1
706",Marche,"Ascoli
Piceno",Acquasanta Terme,,Anas,SS4,159.05.00,159.15.00,1,Caduta massi dal versante di monte,Viabilità con ridotte condizioni di sicurezza,Aperta,"Barriere e
protezioni","Frana di crollo sul versante di monte con
distacco di massi;","Esplorazione di versante e parete
rocciosa con rimozione dei blocchi
pericolanti;
Installazione di barriera paramassi su
tratti sfalzati;
Rafforzamento corticale con maglia",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di realizzazione di barriera
paramassi e rafforzamento corticale, a
seguito del sisma 24 agosto 2016 e 30
ottobre 2016.","309.375,00",15,30,1,,,,,,,,"309.375,00",,"309.375,00"
SSAP0216,"S1AP02_E_1
707",Marche,"Ascoli
Piceno",Acquasanta Terme,,Anas,SS4,161.01.00,161.02.00,1,Danneggiamento del muro di controripa,Viabilità con ridotte condizioni di sicurezza,Aperta,"Opere
complementari","Cedimento muro di controripa con
sovrastante frana sulla viabilità
comunale.","Realizzazione di tiranti e di opere di
protezione in sommità al muro;
Opere di regimentazione idraulica.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ Lavori di realizzazione di barriera
paramassi e rafforzamento corticale, a
seguito del sisma 24 agosto 2016 e 30","371.250,00",30,45,1,,,,,,,,"371.250,00",,"371.250,00"
SSAP0303,"S1AP03_E_1
709",Marche,"Ascoli
Piceno",Arquata del Tronto,,Anas,SS685,0.25,0.04,1,Caduta massi dal versante di monte,Viabilità con ridotte condizioni di sicurezza,Chiusa,"Barriere e
protezioni","Frana di crollo sul versante con distacco
di massi;","Esplorazione di versante e parete
rocciosa con rimozione dei blocchi
pericolanti;
Installazione di barriera paramassi su
tratti sfalzati;
Rafforzamento corticale con maglia",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 685 ‐ Lavori di realizzazione di
barriera paramassi e rafforzamento
corticale, a seguito del sisma 24 agosto
2016 e 30 ottobre 2016.","742.500,00",20,60,1,,,,,,,,"742.500,00",,"742.500,00"
